from_allocation_state,to_allocation_state,transition_count,total_turnover,average_turnover,median_turnover,mean_strategy_return_next_5d,mean_strategy_return_next_20d,mean_SPY_return_next_5d,mean_SPY_return_next_20d,share_of_total_turnover
FLAT_LOW_RATE_NORMAL,STEEP_HIGH_RATE_NORMAL,6,1.9221239916653972,0.3203539986108995,0.3170913420058013,-0.0033515232600841807,0.011390343809595324,-0.000979738844699855,0.003471653729342957,0.031085808928497858
STEEP_HIGH_RATE_STRESS,STEEP_LOW_RATE_STRESS,3,1.8000000000000003,0.6000000000000001,0.6000000000000001,-0.003405092307817418,0.0082066355389796,-0.009653223070722102,0.02432089215406937,0.029110742238233657
FLAT_LOW_RATE_STRESS,INVERTED_STRESS,2,1.8000000000000003,0.9000000000000001,0.9000000000000001,0.010035672294195608,0.04269458853995245,0.02055910144149592,0.07277735848113187,0.029110742238233657
STEEP_LOW_RATE_STRESS,STEEP_HIGH_RATE_STRESS,3,1.8000000000000003,0.6000000000000001,0.6000000000000001,-0.005214309375645154,0.008263374872432302,0.019304060503922638,0.020769377463973043,0.029110742238233657
STEEP_LOW_RATE_NORMAL,STEEP_HIGH_RATE_NORMAL,3,1.759081998033794,0.5863606660112647,0.5806121571006743,0.0046875657646903894,0.0072619059132221775,0.0006618166130784401,-0.021366198262005958,0.02844899034482156
INVERTED_NORMAL,FLAT_LOW_RATE_NORMAL,3,1.6895658368481632,0.5631886122827211,0.5369408885213481,0.007332828779798166,0.03385096494373937,0.009057858277277194,0.03873713733986476,0.027324730872784673
FLAT_HIGH_RATE_NORMAL,INVERTED_NORMAL,3,1.5380068829150693,0.5126689609716898,0.5,-0.01347272986798124,0.0034668350231284637,-0.006517833213212125,-0.005635872671814905,0.024873623293983214
FLAT_LOW_RATE_NORMAL,INVERTED_NORMAL,2,1.3103748520701006,0.6551874260350503,0.6551874260350503,0.017422982585118985,0.04909424579937349,0.01220242803410232,0.04408148275578205,0.021192213641153472
STEEP_HIGH_RATE_NORMAL,STEEP_LOW_RATE_NORMAL,2,1.1990348253203922,0.5995174126601961,0.5995174126601961,0.007664212114395719,-0.008340796388569549,0.007664212114395719,-7.43667612870258e-05,0.019391552074759694
INVERTED_NORMAL,INVERTED_NORMAL,740,1.0888927506753463,0.0014714766901018194,0.0,0.003872324465319822,0.015516375396185998,0.0043847114603442665,0.017918270402457304,0.017610264549995126
STEEP_HIGH_RATE_NORMAL,STEEP_HIGH_RATE_STRESS,1,1.0,1.0,1.0,0.01667186733438908,0.015239459227863517,-0.0547608930764969,-0.017113146692312564,0.016172634576796473
INVERTED_STRESS,FLAT_HIGH_RATE_STRESS,1,1.0,1.0,1.0,0.012286860933216293,0.06163027639567775,-0.004061868746444541,0.015562075503174011,0.016172634576796473
FLAT_LOW_RATE_NORMAL,STEEP_LOW_RATE_NORMAL,2,0.9687006557224275,0.48435032786121374,0.48435032786121374,0.018159628748202983,0.02333903654214131,0.018159628748202983,0.014759410822346442,0.015666441719301948
FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,538,0.7833618466153752,0.0014560629119244892,0.0,0.004670130686092453,0.020567741542856385,0.0038768044143084423,0.011943289385580601,0.012669024886714952
STEEP_HIGH_RATE_NORMAL,STEEP_HIGH_RATE_NORMAL,603,0.6812051748280948,0.0011296934905938554,0.0,0.004786443859671729,0.01631062993835403,0.0038701513880279167,0.012289335810641427,0.011016882364317533
FLAT_HIGH_RATE_NORMAL,FLAT_HIGH_RATE_NORMAL,433,0.5462782203609143,0.0012616125181545365,0.0,0.007625550106472797,0.02950970032470869,0.0007529745820461311,0.0022136411808626336,0.008834758035159767
INVERTED_STRESS,INVERTED_NORMAL,5,0.5000000000000001,0.10000000000000002,0.10000000000000002,0.010120336018080333,0.033705489148865286,0.004526410624574773,0.027262656673841514,0.008086317288398238
START,INVERTED_NORMAL,1,0.5,0.5,0.5,-0.0073170608248448454,0.05615710202604762,-0.0030728680434406463,-0.013799741903441687,0.008086317288398237
STEEP_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,1,0.4921484720288133,0.4921484720288133,0.4921484720288133,0.00768747557971472,0.03467864985746161,-0.0058363676540061915,0.020792566922968492,0.007959337395650738
INVERTED_NORMAL,INVERTED_STRESS,4,0.40000000000000013,0.10000000000000003,0.1,-0.0015255426550634388,0.02499394734597149,0.0026937784953252886,0.029001252489924023,0.006469053830718592
INVERTED_STRESS,INVERTED_STRESS,166,0.15194031205673886,0.0009153030846791498,0.0,0.004901224047910086,0.015183085676358758,0.0024096290826384464,0.004945314062834933,0.002457275144378061
FLAT_HIGH_RATE_STRESS,STEEP_HIGH_RATE_STRESS,1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.005686771691262971,-0.0015245816258676603,0.017630947180922174,0.004666482363790303,0.0016172634576796473
FLAT_HIGH_RATE_STRESS,FLAT_HIGH_RATE_STRESS,186,0.0,0.0,0.0,0.0029162689075633527,0.009029899000273116,0.0010092343986027063,-0.0005838601225723375,0.0
FLAT_LOW_RATE_STRESS,FLAT_LOW_RATE_STRESS,314,0.0,0.0,0.0,0.00038227443298036764,0.0029458123945604524,0.0005631109648436064,0.01312591003798073,0.0
STEEP_HIGH_RATE_STRESS,STEEP_HIGH_RATE_STRESS,475,0.0,0.0,0.0,0.0019547123578540033,0.009051677065818962,-0.004065689463854091,-0.01460861499625947,0.0
STEEP_LOW_RATE_NORMAL,STEEP_LOW_RATE_NORMAL,1164,0.0,0.0,0.0,0.002900217717451317,0.011838253499024159,0.002822858043435111,0.010568308613650617,0.0
STEEP_LOW_RATE_STRESS,STEEP_LOW_RATE_STRESS,360,0.0,0.0,0.0,0.003975299513167966,0.015994778804398986,0.005296859108848853,0.023040683120880465,0.0
