date,TERM_SPREAD_10Y_1Y,GS10,GS1,macro_regime_raw,macro_regime_confirmed,refined_regime_raw,refined_regime_confirmed,steep_rate_regime_confirmed,final_regime_confirmed
2006-04-17,0.08000000000000007,5.01,4.93,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-18,0.11000000000000032,4.99,4.88,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-19,0.15000000000000036,5.04,4.89,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-20,0.13999999999999968,5.04,4.9,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-21,0.10999999999999943,5.01,4.9,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-24,0.07000000000000028,4.99,4.92,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-25,0.1200000000000001,5.07,4.95,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-26,0.13999999999999968,5.12,4.98,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-27,0.16000000000000014,5.09,4.93,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-28,0.16999999999999993,5.07,4.9,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-01,0.16999999999999993,5.14,4.97,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-02,0.16000000000000014,5.12,4.96,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-03,0.16999999999999993,5.15,4.98,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-04,0.16000000000000014,5.16,5.0,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-05,0.13999999999999968,5.12,4.98,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-08,0.11000000000000032,5.12,5.01,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-09,0.1200000000000001,5.13,5.01,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-10,0.11000000000000032,5.13,5.02,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-11,0.14999999999999947,5.14,4.99,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-12,0.1900000000000004,5.19,5.0,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-15,0.14000000000000057,5.15,5.01,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-16,0.11999999999999922,5.1,4.98,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-17,0.16999999999999993,5.16,4.99,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-18,0.1200000000000001,5.08,4.96,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-19,0.0699999999999994,5.05,4.98,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-22,0.04999999999999982,5.04,4.99,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-23,0.07000000000000028,5.07,5.0,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-24,0.0600000000000005,5.03,4.97,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-25,0.07000000000000028,5.07,5.0,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-26,0.05999999999999961,5.06,5.0,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-30,0.07000000000000028,5.09,5.02,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-05-31,0.04999999999999982,5.12,5.07,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-06-01,0.0600000000000005,5.11,5.05,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-06-02,0.019999999999999574,5.0,4.98,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-06-05,0.0,5.02,5.02,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-06-06,-0.020000000000000462,5.01,5.03,INVERTED,FLAT,INVERTED,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-06-07,-0.03000000000000025,5.02,5.05,INVERTED,FLAT,INVERTED,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-06-08,-0.040000000000000036,5.0,5.04,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-09,-0.0699999999999994,4.98,5.05,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-12,-0.09999999999999964,4.99,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-13,-0.1200000000000001,4.97,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-14,-0.10000000000000053,5.05,5.15,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-15,-0.05000000000000071,5.1,5.15,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-16,-0.04999999999999982,5.13,5.18,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-19,-0.09000000000000075,5.14,5.23,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-20,-0.08000000000000007,5.15,5.23,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-21,-0.05999999999999961,5.16,5.22,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-22,-0.040000000000000036,5.2,5.24,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-23,-0.03999999999999915,5.23,5.27,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-26,-0.04999999999999982,5.25,5.3,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-27,-0.07000000000000028,5.21,5.28,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-28,-0.04999999999999982,5.25,5.3,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-29,-0.03000000000000025,5.22,5.25,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-06-30,-0.05999999999999961,5.15,5.21,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-03,-0.10999999999999943,5.15,5.26,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-05,-0.05999999999999961,5.23,5.29,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-06,-0.08999999999999986,5.19,5.28,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-07,-0.11000000000000032,5.14,5.25,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-10,-0.13999999999999968,5.13,5.27,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-11,-0.16000000000000014,5.1,5.26,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-12,-0.16000000000000014,5.1,5.26,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-13,-0.13999999999999968,5.08,5.22,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-14,-0.1299999999999999,5.07,5.2,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-17,-0.16999999999999993,5.07,5.24,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-18,-0.15000000000000036,5.13,5.28,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-19,-0.16000000000000014,5.06,5.22,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-20,-0.14999999999999947,5.03,5.18,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-21,-0.14000000000000057,5.05,5.19,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-24,-0.16000000000000014,5.05,5.21,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-25,-0.13999999999999968,5.07,5.21,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-26,-0.1200000000000001,5.04,5.16,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-27,-0.08999999999999986,5.07,5.16,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-28,-0.09999999999999964,5.0,5.1,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-07-31,-0.1200000000000001,4.99,5.11,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-01,-0.1200000000000001,4.99,5.11,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-02,-0.15000000000000036,4.96,5.11,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-03,-0.16000000000000014,4.96,5.12,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-04,-0.16000000000000014,4.91,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-07,-0.1900000000000004,4.93,5.12,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-08,-0.15000000000000036,4.93,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-09,-0.15000000000000036,4.92,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-10,-0.15000000000000036,4.93,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-11,-0.15000000000000036,4.97,5.12,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-14,-0.16999999999999993,5.0,5.17,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-15,-0.1800000000000006,4.93,5.11,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-16,-0.1899999999999995,4.87,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-17,-0.20999999999999996,4.87,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-18,-0.2400000000000002,4.84,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-21,-0.25,4.82,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-22,-0.25,4.82,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-23,-0.25,4.82,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-24,-0.2600000000000007,4.81,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-25,-0.2699999999999996,4.79,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-28,-0.28000000000000025,4.8,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-29,-0.2699999999999996,4.79,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-30,-0.27000000000000046,4.76,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-08-31,-0.2699999999999996,4.74,5.01,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-01,-0.2599999999999998,4.73,4.99,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-05,-0.23999999999999932,4.78,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-06,-0.21999999999999975,4.8,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-07,-0.21999999999999975,4.8,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-08,-0.21999999999999975,4.78,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-11,-0.23000000000000043,4.8,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-12,-0.23999999999999932,4.78,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-13,-0.22000000000000064,4.77,4.99,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-14,-0.22999999999999954,4.79,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-15,-0.23000000000000043,4.8,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-18,-0.23000000000000043,4.81,5.04,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-19,-0.25,4.74,4.99,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-20,-0.2699999999999996,4.73,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-21,-0.27999999999999936,4.65,4.93,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-22,-0.3000000000000007,4.6,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-25,-0.3200000000000003,4.56,4.88,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-26,-0.3200000000000003,4.59,4.91,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-27,-0.29000000000000004,4.6,4.89,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-28,-0.27000000000000046,4.63,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-09-29,-0.27000000000000046,4.64,4.91,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-02,-0.28000000000000025,4.62,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-03,-0.28000000000000025,4.62,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-04,-0.2999999999999998,4.57,4.87,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-05,-0.29000000000000004,4.61,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-06,-0.2400000000000002,4.7,4.94,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-09,-0.2400000000000002,4.7,4.94,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-10,-0.25,4.75,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-11,-0.23999999999999932,4.78,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-12,-0.2400000000000002,4.79,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-13,-0.2400000000000002,4.81,5.05,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-16,-0.2599999999999998,4.79,5.05,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-17,-0.2599999999999998,4.78,5.04,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-18,-0.27000000000000046,4.77,5.04,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-19,-0.2599999999999998,4.79,5.05,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-20,-0.2599999999999998,4.79,5.05,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-23,-0.2599999999999998,4.83,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-24,-0.2699999999999996,4.83,5.1,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-25,-0.2999999999999998,4.78,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-26,-0.3299999999999992,4.73,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-27,-0.33999999999999986,4.68,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-30,-0.35000000000000053,4.68,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-10-31,-0.3799999999999999,4.61,4.99,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-01,-0.3799999999999999,4.57,4.95,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-02,-0.3700000000000001,4.6,4.97,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-03,-0.33999999999999986,4.72,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-06,-0.34999999999999964,4.71,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-07,-0.3700000000000001,4.66,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-08,-0.3799999999999999,4.64,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-09,-0.39999999999999947,4.62,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-10,-0.41999999999999993,4.59,5.01,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-13,-0.41999999999999993,4.61,5.03,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-14,-0.4399999999999995,4.57,5.01,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-15,-0.4299999999999997,4.61,5.04,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-16,-0.39999999999999947,4.66,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-17,-0.40999999999999925,4.61,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-20,-0.41999999999999993,4.6,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-21,-0.4399999999999995,4.58,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-22,-0.4399999999999995,4.57,5.01,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-24,-0.4500000000000002,4.55,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-27,-0.45999999999999996,4.54,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-28,-0.47000000000000064,4.51,4.98,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-29,-0.46000000000000085,4.52,4.98,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-11-30,-0.4800000000000004,4.46,4.94,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-01,-0.4400000000000004,4.43,4.87,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-04,-0.4400000000000004,4.43,4.87,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-05,-0.41000000000000014,4.45,4.86,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-06,-0.41999999999999993,4.48,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-07,-0.41000000000000014,4.49,4.9,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-08,-0.39000000000000057,4.56,4.95,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-11,-0.4200000000000008,4.52,4.94,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-12,-0.41999999999999993,4.49,4.91,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-13,-0.3700000000000001,4.58,4.95,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-14,-0.3700000000000001,4.6,4.97,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-15,-0.3600000000000003,4.6,4.96,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-18,-0.3700000000000001,4.6,4.97,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-19,-0.3600000000000003,4.6,4.96,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-20,-0.3600000000000003,4.6,4.96,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-21,-0.3799999999999999,4.55,4.93,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-22,-0.33000000000000007,4.63,4.96,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-26,-0.35999999999999943,4.61,4.97,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-27,-0.33000000000000007,4.66,4.99,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-28,-0.3099999999999996,4.7,5.01,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-12-29,-0.29000000000000004,4.71,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-02,-0.3200000000000003,4.68,5.0,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-03,-0.3100000000000005,4.67,4.98,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-04,-0.33000000000000007,4.62,4.95,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-05,-0.33000000000000007,4.65,4.98,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-08,-0.34999999999999964,4.66,5.01,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-09,-0.35999999999999943,4.66,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-10,-0.3299999999999992,4.69,5.02,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-11,-0.3099999999999996,4.74,5.05,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-12,-0.29000000000000004,4.77,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-16,-0.3099999999999996,4.75,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-17,-0.29000000000000004,4.79,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-18,-0.3200000000000003,4.75,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-19,-0.3099999999999996,4.78,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-22,-0.33000000000000007,4.76,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-23,-0.29000000000000004,4.81,5.1,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-24,-0.28000000000000025,4.81,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-25,-0.2400000000000002,4.87,5.11,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-26,-0.2400000000000002,4.88,5.12,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-29,-0.21999999999999975,4.9,5.12,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-30,-0.23000000000000043,4.88,5.11,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-01-31,-0.2599999999999998,4.83,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-01,-0.25,4.84,5.09,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-02,-0.25,4.83,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-05,-0.27000000000000046,4.81,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-06,-0.3000000000000007,4.77,5.07,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-07,-0.3199999999999994,4.74,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-08,-0.3299999999999992,4.73,5.06,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-09,-0.29000000000000004,4.79,5.08,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2007-02-12,-0.2999999999999998,4.8,5.1,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
